"Use Case","First Name","Last Name","Gender","phone number","company name","gst","address","pincode","city","state","coubtry","alert","result"
"when gender is not selected ","anshika","jain","","9782604646","maaruji","737773","120/212  vijay path mansarovar","302020","jaipur","rajasthan","India","Please fill all mandatory fields","Pass"
"terms and conditions not checked","anshika","jain","Male","9782604646","maaruji","737773","120/212  vijay path mansarovar","302020","jaipur","rajasthan","India","Please Verify Email First","Pass"
"name with special charaters","!@@#","jiain","Female","9782604646","maaruji","388373","120/212  vijay path mansarovar","302020","pune","rajasthan","United States","Please fill all mandatory fields","Pass"
"name with numbers","142442","jain","Male","9782604646","maaruji","388373","120/212  vijay path mansarovar","302020","jaipur","rajasthan","India","Please fill all mandatory fields","Pass"
"name field empty","","jain","Female","9782604646","maaruji","737773","120/212  vijay path mansarovar","302020","pune","rajasthan","United States","Please fill all mandatory fields","Pass"
"name with sapce in between words","Vijay Kumar","jiain","Male","9782604646","maaruji","388373","120/212  vijay path mansarovar","302020","jaipur","rajasthan","India","Please Verify Email First","Pass"
"last name with special charaters","Anshika","!@@#","Female","9782604646","maaruji","388373","120/212  vijay path mansarovar","302020","pune","rajasthan","United States","Please fill all mandatory fields","Pass"
"last name with numbers","Anshika","142442","Male","9782604646","maaruji","737773","120/212  vijay path mansarovar","302020","jaipur","rajasthan","India","Please fill all mandatory fields","Pass"
"last name field empty","Anshika","","Female","9782604646","maaruji","388373","120/212  vijay path mansarovar","302020","pune","rajasthan","United States","Please fill all mandatory fields","Pass"
"gender not selected","Anshika","jain","","9782606563","maaruji","388373","120/212  vijay path mansarovar","302020","jaipur","rajasthan","India","Please fill all mandatory fields","Pass"
"phone number invalid format","Anshika","jain","Female","978260jnsjs","maaruji","737773","120/212  vijay path mansarovar","302020","pune","rajasthan","United States","Please fill all mandatory fields","Pass"
"phone number invalid format","Anshika","jiain","Male","9782604 #","maaruji","388373","120/212  vijay path mansarovar","302020","jaipur","rajasthan","India","Please fill all mandatory fields","Pass"
"company field empty","Anshika","jain","Female","9782606563","","388373","120/212  vijay path mansarovar","302020","jaipur","rajasthan","India","Please fill all mandatory fields","Pass"
"company field min length ","Anshika","jain","Female","9782606563","ans","388373","120/212  vijay path mansarovar","302020","jaipur","rajasthan","India","Please fill all mandatory fields","Pass"
"company field special character","Anshika","jain","Female","9782606563","maaruji @#$% ^^& %^^","388373","120/212  vijay path mansarovar","302020","jaipur","rajasthan","India","Please Verify Email First","Pass"
"GST length","Anshika","jain","Female","9782606563","maaruji","3.88E+42","120/212  vijay path mansarovar","302020","jaipur","rajasthan","India","Please fill all mandatory fields","Pass"
"GST special charaters","Anshika","jain","Female","9782606563","maaruji","#$$%^&","120/212  vijay path mansarovar","302020","jaipur","rajasthan","India","Please fill all mandatory fields","Pass"
"GST letters","Anshika","jain","Female","9782606563","maaruji","sbhhssh","120/212  vijay path mansarovar","302020","jaipur","rajasthan","India","Please Verify Email First","Pass"
"Address only numbers ","Anshika","jain","Female","9782606563","maaruji","388373","112662 2626262 6363636 377373 377373736 36563","302020","jaipur","rajasthan","India","Please Verify Email First","Pass"
"Address with special charaters","Anshika","jain","Female","9782606563","maaruji","388373","!@#$$4 47 jncdcbh @#$%^&** ","302020","jaipur","rajasthan","India","Please fill all mandatory fields","Pass"
"Address empty","Anshika","jain","Female","9782606563","maaruji","388373","","302020","jaipur","rajasthan","India","Please fill all mandatory fields","Pass"
"Pincode charaters","Anshika","jain","Female","9782606563","maaruji","388373","120/212  vijay path mansarovar","sbbhbhdbh","jaipur","rajasthan","India","Please Verify Email First","Fail"
"Pincode special charaters","Anshika","jain","Female","9782606563","maaruji","388373","120/212  vijay path mansarovar","!@@##$%%%","jaipur","rajasthan","India","Please fill all mandatory fields","Pass"
"City with special charaters","Anshika","jain","Female","9782606563","maaruji","77775656","120/212  vijay path mansarovar","302020","#$$%^&&%","rajasthan","India","Please fill all mandatory fields","Pass"
"City with space in between","Anshika","jain","Female","9782606563","maaruji","77775656","120/212  vijay path mansarovar","302020","dvvd vddbdb","rajasthan","India","Please Verify Email First","Pass"
"City with numbers","Anshika","jain","Female","9782606563","maaruji","77775656","120/212  vijay path mansarovar","302020","376366464","rajasthan","India","Please fill all mandatory fields","Pass"
"State with special charaters","Anshika","jain","Female","9782606563","maaruji","77775656","120/212  vijay path mansarovar","302020","jaipur","r@@$$%^^","India","Please fill all mandatory fields","Pass"
"State with space in between","Anshika","jain","Female","9782606563","maaruji","77775656","120/212  vijay path mansarovar","302020","delhi","andhra pradesh","India","Please Verify Email First","Pass"
"State with numbers","Anshika","jain","Female","9782606563","maaruji","77775656","120/212  vijay path mansarovar","302020","jaipur","45456788878","India","Please fill all mandatory fields","Pass"
"When country is not selected ","Anshika","jain","Female","9782606563","maaruji","77775656","120/212  vijay path mansarovar","302020","jaipur","rajasthan","","Please fill all mandatory fields","Pass"
